open,high,low,close,volume,vwap,rsi,bb_mavg,bb_upper,bb_lower,bb_hi,bb_li,timestamp
31608,31757,31581,31730,2.4653,31723.26727,51.85868444860878,31635.85,31906.86828351608,31364.831716483917,0.0,0.0,2021-07-19 04:00:00+00:00
31760,31890,31739,31863,40.1706,31820.895521,55.97387753363168,31642.8,31929.19664802508,31356.403351974917,0.0,0.0,2021-07-19 05:00:00+00:00
31801,31845,31741,31741,1.5855,31767.748534,51.615310955766354,31643.3,31930.345013891554,31356.254986108444,0.0,0.0,2021-07-19 06:00:00+00:00
31829,31829,31616,31616,4.1628,31654.415802,47.531421659825845,31634.2,31912.455709734775,31355.944290265226,0.0,0.0,2021-07-19 07:00:00+00:00
31642,31653,31500,31500,0.4886,31581.692182,44.04838487464198,31621.5,31899.910847489824,31343.089152510176,0.0,0.0,2021-07-19 08:00:00+00:00
31539,31539,31272,31390,11.2308,31396.464054,40.98158532473187,31605.85,31898.97609914506,31312.723900854937,0.0,0.0,2021-07-19 09:00:00+00:00
31375,31432,31186,31186,28.6639,31297.439358,35.978674850892716,31598.25,31924.74341494125,31271.75658505875,0.0,1.0,2021-07-19 10:00:00+00:00
31195,31402,31188,31263,9.1406,31290.60275,39.005384198136326,31594.5,31934.314949641714,31254.685050358286,0.0,0.0,2021-07-19 11:00:00+00:00
31233,31367,30695,30740,41.8048,30955.539079,28.982760003929528,31557.4,32060.85939260282,31053.940607397184,0.0,1.0,2021-07-19 12:00:00+00:00
30699,30827,30530,30620,10.9366,30661.959905,27.25243966074045,31507.05,32153.66100361809,30860.43899638191,0.0,1.0,2021-07-19 13:00:00+00:00
30601,30776,30468,30776,33.6493,30554.711126,32.86384061956308,31464.75,32182.51928744548,30746.98071255452,0.0,0.0,2021-07-19 14:00:00+00:00
30794,30962,30660,30667,20.0063,30780.671433,31.061009609970668,31414.65,32204.643740481526,30624.656259518477,0.0,0.0,2021-07-19 15:00:00+00:00
30662,30770,30629,30698,13.5604,30710.300552,32.20017080590209,31365.3,32203.42173340153,30527.17826659847,0.0,0.0,2021-07-19 16:00:00+00:00
30701,30837,30701,30736,48.9568,30709.306464,33.64755485362282,31311.3,32165.32672089343,30457.27327910657,0.0,0.0,2021-07-19 17:00:00+00:00
30729,30781,30565,30635,39.511,30700.535565,31.709916421603623,31267.05,32163.874726465536,30370.225273534463,0.0,0.0,2021-07-19 18:00:00+00:00
30685,30746,30552,30746,13.3421,30698.755203,36.067326037683785,31213.1,32098.926822804537,30327.27317719546,0.0,0.0,2021-07-19 19:00:00+00:00
30726,30806,30710,30773,2.7697,30750.963498,37.11836790783435,31171.05,32056.606203749925,30285.493796250074,0.0,0.0,2021-07-19 20:00:00+00:00
